date,neighborhood,center_name,attendance_count
2023-03-16,Polish Hill,West Penn Community Center,18
2023-03-16,Polish Hill,West Penn Community Center,111
2023-03-16,Polish Hill,West Penn Community Center,22
2023-03-16,Polish Hill,West Penn Community Center,119
2023-03-15,Polish Hill,West Penn Community Center,35
2023-03-15,Polish Hill,West Penn Community Center,3
2023-03-15,Polish Hill,West Penn Community Center,66
2023-03-15,Polish Hill,West Penn Community Center,34
2023-03-15,Polish Hill,West Penn Community Center,15
2023-03-15,Polish Hill,West Penn Community Center,54
2023-03-15,Polish Hill,West Penn Community Center,11
2023-03-15,Polish Hill,West Penn Community Center,69
2023-03-15,Polish Hill,West Penn Community Center,48
2023-03-14,Polish Hill,West Penn Community Center,39
2023-03-14,Polish Hill,West Penn Community Center,16
2023-03-14,Polish Hill,West Penn Community Center,2
2023-03-14,Polish Hill,West Penn Community Center,40
2023-03-14,Polish Hill,West Penn Community Center,19
2023-03-14,Polish Hill,West Penn Community Center,32
2023-03-14,Polish Hill,West Penn Community Center,18
2023-03-14,Polish Hill,West Penn Community Center,47
2023-03-14,Polish Hill,West Penn Community Center,15
2023-03-14,Polish Hill,West Penn Community Center,145
2023-03-13,Polish Hill,West Penn Community Center,60
2023-03-13,Polish Hill,West Penn Community Center,4
2023-03-13,Polish Hill,West Penn Community Center,15
2023-03-13,Polish Hill,West Penn Community Center,49
2023-03-13,Polish Hill,West Penn Community Center,22
2023-03-13,Polish Hill,West Penn Community Center,48
2023-03-13,Polish Hill,West Penn Community Center,11
2023-03-13,Polish Hill,West Penn Community Center,42
2023-03-13,Polish Hill,West Penn Community Center,76
2023-03-12,Polish Hill,West Penn Community Center,3
2023-03-11,Polish Hill,West Penn Community Center,1
2023-03-11,Polish Hill,West Penn Community Center,5
2023-03-11,Polish Hill,West Penn Community Center,10
2023-03-11,Polish Hill,West Penn Community Center,12
2023-03-11,Polish Hill,West Penn Community Center,104
2023-03-10,Polish Hill,West Penn Community Center,32
2023-03-10,Polish Hill,West Penn Community Center,13
2023-03-10,Polish Hill,West Penn Community Center,8
2023-03-10,Polish Hill,West Penn Community Center,40
2023-03-10,Polish Hill,West Penn Community Center,17
2023-03-10,Polish Hill,West Penn Community Center,11
2023-03-10,Polish Hill,West Penn Community Center,68
2023-03-10,Polish Hill,West Penn Community Center,15
2023-03-10,Polish Hill,West Penn Community Center,39
2023-03-10,Polish Hill,West Penn Community Center,73
2023-03-09,Polish Hill,West Penn Community Center,63
2023-03-09,Polish Hill,West Penn Community Center,32
2023-03-09,Polish Hill,West Penn Community Center,15
2023-03-09,Polish Hill,West Penn Community Center,3
2023-03-09,Polish Hill,West Penn Community Center,58
2023-03-09,Polish Hill,West Penn Community Center,48
2023-03-09,Polish Hill,West Penn Community Center,11
2023-03-09,Polish Hill,West Penn Community Center,74
2023-03-09,Polish Hill,West Penn Community Center,12
2023-03-09,Polish Hill,West Penn Community Center,135
2023-03-08,Polish Hill,West Penn Community Center,69
2023-03-08,Polish Hill,West Penn Community Center,84
2023-03-08,Polish Hill,West Penn Community Center,5
2023-03-08,Polish Hill,West Penn Community Center,36
2023-03-08,Polish Hill,West Penn Community Center,35
2023-03-08,Polish Hill,West Penn Community Center,46
2023-03-08,Polish Hill,West Penn Community Center,15
2023-03-08,Polish Hill,West Penn Community Center,54
2023-03-08,Polish Hill,West Penn Community Center,48
2023-03-07,Polish Hill,West Penn Community Center,67
2023-03-07,Polish Hill,West Penn Community Center,7
2023-03-07,Polish Hill,West Penn Community Center,12
2023-03-07,Polish Hill,West Penn Community Center,51
2023-03-07,Polish Hill,West Penn Community Center,26
2023-03-07,Polish Hill,West Penn Community Center,10
2023-03-07,Polish Hill,West Penn Community Center,75
2023-03-07,Polish Hill,West Penn Community Center,21
2023-03-07,Polish Hill,West Penn Community Center,140
2023-03-06,Polish Hill,West Penn Community Center,89
2023-03-06,Polish Hill,West Penn Community Center,10
2023-03-06,Polish Hill,West Penn Community Center,9
2023-03-06,Polish Hill,West Penn Community Center,42
2023-03-06,Polish Hill,West Penn Community Center,6
2023-03-06,Polish Hill,West Penn Community Center,52
2023-03-06,Polish Hill,West Penn Community Center,25
2023-03-06,Polish Hill,West Penn Community Center,71
2023-03-06,Polish Hill,West Penn Community Center,96
2023-03-04,Polish Hill,West Penn Community Center,8
2023-03-04,Polish Hill,West Penn Community Center,4
2023-03-04,Polish Hill,West Penn Community Center,4
2023-03-04,Polish Hill,West Penn Community Center,42
2023-03-04,Polish Hill,West Penn Community Center,119
2023-03-03,Polish Hill,West Penn Community Center,52
2023-03-03,Polish Hill,West Penn Community Center,8
2023-03-03,Polish Hill,West Penn Community Center,5
2023-03-03,Polish Hill,West Penn Community Center,32
2023-03-03,Polish Hill,West Penn Community Center,6
2023-03-03,Polish Hill,West Penn Community Center,7
2023-03-03,Polish Hill,West Penn Community Center,39
2023-03-03,Polish Hill,West Penn Community Center,50
2023-03-03,Polish Hill,West Penn Community Center,8
2023-03-03,Polish Hill,West Penn Community Center,95
2023-03-02,Polish Hill,West Penn Community Center,59
2023-03-02,Polish Hill,West Penn Community Center,16
2023-03-02,Polish Hill,West Penn Community Center,12
2023-03-02,Polish Hill,West Penn Community Center,41
2023-03-02,Polish Hill,West Penn Community Center,39
2023-03-02,Polish Hill,West Penn Community Center,23
2023-03-02,Polish Hill,West Penn Community Center,8
2023-03-02,Polish Hill,West Penn Community Center,78
2023-03-02,Polish Hill,West Penn Community Center,143
2023-03-01,Polish Hill,West Penn Community Center,60
2023-03-01,Polish Hill,West Penn Community Center,40
2023-03-01,Polish Hill,West Penn Community Center,20
2023-03-01,Polish Hill,West Penn Community Center,32
2023-03-01,Polish Hill,West Penn Community Center,32
2023-03-01,Polish Hill,West Penn Community Center,4
2023-03-01,Polish Hill,West Penn Community Center,34
2023-03-01,Polish Hill,West Penn Community Center,82
2023-03-01,Polish Hill,West Penn Community Center,14
2023-03-01,Polish Hill,West Penn Community Center,59
2023-02-28,Polish Hill,West Penn Community Center,86
2023-02-28,Polish Hill,West Penn Community Center,39
2023-02-28,Polish Hill,West Penn Community Center,16
2023-02-28,Polish Hill,West Penn Community Center,48
2023-02-28,Polish Hill,West Penn Community Center,43
2023-02-28,Polish Hill,West Penn Community Center,22
2023-02-28,Polish Hill,West Penn Community Center,23
2023-02-28,Polish Hill,West Penn Community Center,69
2023-02-28,Polish Hill,West Penn Community Center,155
2023-02-27,Polish Hill,West Penn Community Center,35
2023-02-27,Polish Hill,West Penn Community Center,37
